head	relation	tail
bird	CapableOf	chirp
vendor	CapableOf	price retail item
child	CapableOf	share toy with friend
bird	CapableOf	experience flight
parent	CapableOf	put child to bed
policeman	CapableOf	enjoy power
child	CapableOf	dare another child
person	CapableOf	read chalkboard
dog	CapableOf	play frisbee
person	CapableOf	chair committee
rescuer	CapableOf	set broken bone
bartender	CapableOf	shake drink
person	CapableOf	flying remote control plane
person	CapableOf	like watching stars
actor	CapableOf	enter scene
politician	CapableOf	wave to crowd
soldier	CapableOf	guard fort
waitress	CapableOf	wait at tables
criminal	CapableOf	visit jail
cook	CapableOf	wash vegetable
strong person	CapableOf	suffer in silence
buyer	CapableOf	offer money to seller
student	CapableOf	place pins on map
person	CapableOf	trade on dignity
person	CapableOf	finishing dinner
person	CapableOf	sleep for many hours
mover	CapableOf	box belongings
cat	CapableOf	sun themselves in window
person	CapableOf	put book on shelf
worker	CapableOf	labor fields
person	CapableOf	play dumb
person	CapableOf	forward email to another person
teacher	CapableOf	go shopping after school
kid	CapableOf	ride bike
child	CapableOf	feed goldfish
person	CapableOf	open doors
person	CapableOf	drink liquid
person	CapableOf	destory computer
chef	CapableOf	ball piece of dough
teacher	CapableOf	plan lesson
assistant	CapableOf	hand instruments to surgion
person	CapableOf	train parrot
person	CapableOf	chair meeting
baby	CapableOf	cry when it's unhappy
dog	CapableOf	run after mailman
student	CapableOf	ditch class
kangaroo	CapableOf	jump
soldier	CapableOf	battle another solider
fish	CapableOf	swim in river
child	CapableOf	ask permission
person	CapableOf	saw board in half
worker	CapableOf	mine for gold
cook	CapableOf	cut cheese
person	CapableOf	arm bomb
person	CapableOf	sit on rock
seller	CapableOf	feel uncared for
person	CapableOf	get emotional support
person	CapableOf	judge food
person	CapableOf	step out of train
person	CapableOf	make false promise
salesman	CapableOf	trade cars
employee	CapableOf	sound emergency alarm
bird	CapableOf	land on tree
teacher	CapableOf	group children together
person	CapableOf	need god
person	CapableOf	smell dinner cooking
dog	CapableOf	follow scent
worker	CapableOf	receive raise
person	CapableOf	desire to sin
baby	CapableOf	cry lot
leader	CapableOf	chair committee
accountant	CapableOf	count numbers
worker	CapableOf	labor to bring home paycheck
person	CapableOf	mail friends
person	CapableOf	wear cap
person	CapableOf	study archeology
person	CapableOf	visit hospital
student	CapableOf	spend lot of time studying
person	CapableOf	step on insects
student	CapableOf	hope passes class
salesman	CapableOf	push products
person	CapableOf	work for free
fighter	CapableOf	best opponent
dog	CapableOf	please master
person	CapableOf	blow up ballon
child	CapableOf	wave goodbye
person	CapableOf	see painting
travel agent	CapableOf	book flight
teacher	CapableOf	find keys
love	CapableOf	make better person
pig	CapableOf	lie down
person	CapableOf	state fact to audience
person	CapableOf	amount to nothing
actor	CapableOf	act badly
rooster	CapableOf	father many chicks
judge	CapableOf	order sentence
employee	CapableOf	stock store shelves
person	CapableOf	ride train
person	CapableOf	dare another person
person	CapableOf	analyze character development in play
horse	CapableOf	jump high
child	CapableOf	reach juice to drink
locksmith	CapableOf	machine key
ruler	CapableOf	govern people
person	CapableOf	wave goodbye
human	CapableOf	drink coffee
police officer	CapableOf	separate people fighting
kid	CapableOf	bicycle to school
person	CapableOf	storm with rage
child	CapableOf	wind toy
waiter	CapableOf	seat guests
friend	CapableOf	talk to
relative	CapableOf	visit
person	CapableOf	dream big dreams
teacher	CapableOf	explain many things
child	CapableOf	listen story
librarian	CapableOf	find information
child	CapableOf	borrow ten cents from mother
dog	CapableOf	lick privates
actor	CapableOf	branch out
cat	CapableOf	kill birds
tiger	CapableOf	spring from bush
hamster	CapableOf	burrow
human	CapableOf	form sentance
cook	CapableOf	add egg
student	CapableOf	forget homework
person	CapableOf	make money
pitcher	CapableOf	throw fastball
person	CapableOf	carry briefcase
child	CapableOf	build sand castle
student	CapableOf	read book
leader	CapableOf	school us in fine points
fan	CapableOf	side with other team
person	CapableOf	need to loved
neighbor	CapableOf	borrow tool
human	CapableOf	have fever
person	CapableOf	fail task
parent	CapableOf	allow child to go outside
cat	CapableOf	very good companion
chef	CapableOf	cook dish
human	CapableOf	write
worker	CapableOf	meet quota
priest	CapableOf	offer solace
person	CapableOf	iron shirt
waitress	CapableOf	seat customers
person	CapableOf	step forward
person	CapableOf	suffering desease
scientist	CapableOf	question theories
shopper	CapableOf	charge purchases to visa
customer	CapableOf	price car
person	CapableOf	borrow book
soldier	CapableOf	step on land mine
policeman	CapableOf	lose criminal
friend	CapableOf	drive to dallas texas
timekeeper	CapableOf	time race
lion	CapableOf	hunt zebras
parent	CapableOf	school child
person	CapableOf	desire another person
pet	CapableOf	suffer with illness
person	CapableOf	write letter home
company	CapableOf	ship goods
cook	CapableOf	brown onions
person	CapableOf	shake hand
student	CapableOf	hand pencil
child	CapableOf	ask parent question
politician	CapableOf	cut fat out
child	CapableOf	wash before dinner
leader	CapableOf	rule nation
person	CapableOf	view web pages
person	CapableOf	own car
person	CapableOf	lift object
person	CapableOf	book appointment
love	CapableOf	cost emotion
fish	CapableOf	eat plankton
person	CapableOf	mine for gold
chef	CapableOf	make salad
company	CapableOf	bottle beer
judge	CapableOf	consider mitigating evidence
secretary	CapableOf	note down
student	CapableOf	spend time on studying
scientist	CapableOf	note difference
repairman	CapableOf	fix washer
ambassador	CapableOf	word political agreement
police officer	CapableOf	charge with crime
child	CapableOf	talk at warly age
dragon	CapableOf	fly
human	CapableOf	walk on two legs
person	CapableOf	water plants
friend	CapableOf	give gift to friend
person	CapableOf	go into forest
person	CapableOf	view film
foot	CapableOf	step on ground
person	CapableOf	wash car
judge	CapableOf	rule over case
person	CapableOf	check moisture content of snow
person	CapableOf	feel ashamed
dog	CapableOf	learn to fetch things
person	CapableOf	turn handle
elephant	CapableOf	weigh up to 14000 pounds
agent	CapableOf	ask whether to perform task
friend	CapableOf	share drink with
cook	CapableOf	measure flour
dog	CapableOf	appear tired
police officer	CapableOf	fire weapon
teacher	CapableOf	keep track of student's grades
cook	CapableOf	season food with spice
locksmith	CapableOf	enter locked room
baby	CapableOf	delight parents
guy	CapableOf	forget to call girlfriend
person	CapableOf	hope will happen
scientist	CapableOf	measure variables
child	CapableOf	begin school
person	CapableOf	forget name
fool	CapableOf	smoke cigarette
criminal	CapableOf	commit crime with gun
child	CapableOf	begin kindergarten
politician	CapableOf	promise never to raise taxes
child	CapableOf	throw small television
parent	CapableOf	help child with homework
guard	CapableOf	man post
witness	CapableOf	report accident
buyer	CapableOf	condition offer
teacher	CapableOf	welcome new class
human	CapableOf	enjoy performance
person	CapableOf	taste apple
person	CapableOf	dare to jump off cliff
solicitor	CapableOf	write letter
teacher	CapableOf	work in school
customer	CapableOf	order dinner
guest	CapableOf	thank hostess
doctor	CapableOf	subject patient to long waits
child	CapableOf	wonder why
child	CapableOf	miss bus
person	CapableOf	bus somewhere
customer	CapableOf	order cheeseburger
policeman	CapableOf	stop crime
child	CapableOf	visit zoo
human	CapableOf	taste dish
fox	CapableOf	kill chickens
person	CapableOf	eat cheese
parent	CapableOf	judge child
person	CapableOf	float if position themselves right
human	CapableOf	lower curtains
person	CapableOf	order meal
person	CapableOf	kill another person for self defence
shopper	CapableOf	hunt through racks
person	CapableOf	open door
lawyer	CapableOf	prove case
pain	CapableOf	matter lot
student	CapableOf	receive doctorate
animal	CapableOf	feel pain
student	CapableOf	gain experience
child	CapableOf	kiss pet
manager	CapableOf	pay water bill
student	CapableOf	gain knowledge from studying
librarian	CapableOf	put book on shelf
secretary	CapableOf	mean to organize office
kid	CapableOf	promise to to good
robber	CapableOf	steal
child	CapableOf	mind manners
person	CapableOf	welcome others into home
judge	CapableOf	judge defendants to guilty
person	CapableOf	point at particular point
doctor	CapableOf	prescribe medicine
patient	CapableOf	wait in lobby
mechanic	CapableOf	oil car
person	CapableOf	measure size
waiter	CapableOf	seat patron
horse	CapableOf	pull cart
human	CapableOf	get job
scientist	CapableOf	question theory
clerk	CapableOf	stock store
person	CapableOf	riding camel
cat	CapableOf	stay on lap
student	CapableOf	fail class
dog	CapableOf	enter doghouse
actor	CapableOf	act poorly
child	CapableOf	fall into well
whale	CapableOf	hear sound underwater
witness	CapableOf	state truth
dog	CapableOf	dig up bone
person	CapableOf	feel sleepy
student	CapableOf	pay tutor to teach
teacher	CapableOf	ask about french revolution
child	CapableOf	star in school play
employee	CapableOf	enjoy work benefits
dog	CapableOf	smell cooking meat
student	CapableOf	choose course curriculum
person	CapableOf	live in building
chef	CapableOf	add ingredients
mouth	CapableOf	kiss another mouth
teacher	CapableOf	grade exam
person	CapableOf	deceive himself
child	CapableOf	put away toys
preacher	CapableOf	shout halleluia
person	CapableOf	sign form
person	CapableOf	listen orchestra
person	CapableOf	take input
author	CapableOf	write essay
cook	CapableOf	use oven to cook
fish	CapableOf	pets
friend	CapableOf	borrow eggs
pilot	CapableOf	captain ship
person	CapableOf	point finger
artist	CapableOf	perfect work of art
doctor	CapableOf	study medicine
hawk	CapableOf	spot prey from distance
politician	CapableOf	field questions
nurse	CapableOf	resuscitate
student	CapableOf	understand lecture
artist	CapableOf	produce painting
friend	CapableOf	include in conversation
plumber	CapableOf	hand wrench
cook	CapableOf	butter vegetables
doctor	CapableOf	prescribe treatment
person	CapableOf	plan vacation
ruler	CapableOf	guide lines
person	CapableOf	expect worst
baker	CapableOf	piece eggs with flour
person	CapableOf	wash dishes
person	CapableOf	amount to
pilot	CapableOf	fly aeroplanes
person	CapableOf	fall on ice
person	CapableOf	buy item
person	CapableOf	drop food on ground
employee	CapableOf	attend meeting
person	CapableOf	return favor
person	CapableOf	read street sign
person	CapableOf	analyze results of test
person	CapableOf	name star
teacher	CapableOf	question student
brother	CapableOf	deal deck of cards
teacher	CapableOf	supply knowledge
person	CapableOf	rely on computer
singer	CapableOf	sing ballad
cook	CapableOf	cook foods
bear	CapableOf	fish with it's paws
patient	CapableOf	feel pain during operation
elephant	CapableOf	weight 1000 kilos
lawyer	CapableOf	object in court
shopper	CapableOf	bag groceries
person	CapableOf	mail parcel to another person
person	CapableOf	view new film
banker	CapableOf	advance loan
person	CapableOf	control television
person	CapableOf	pay using charge method
lawyer	CapableOf	present case
person	CapableOf	control one's own actions
person	CapableOf	train dog to sniff drugs
dog	CapableOf	learn how to beg
devil	CapableOf	play fiddle really well
horse	CapableOf	jump fence
student	CapableOf	try to cheat
person	CapableOf	die when shot by gun
student	CapableOf	borrow book from library
student	CapableOf	leave dorm
doctor	CapableOf	measure height
person	CapableOf	pay credit card bill
company	CapableOf	buy another company
teacher	CapableOf	call on student
person	CapableOf	learn facts about weather
teacher	CapableOf	plan to teach lesson
child	CapableOf	receive gift from grandparents
victim	CapableOf	labor to breath
parent	CapableOf	box gift for child
worker	CapableOf	go home
student	CapableOf	beginning lessons
person	CapableOf	finish task
salesman	CapableOf	get fired
sheep	CapableOf	live in field
shopper	CapableOf	eye pair of shoes
human	CapableOf	strike human
child	CapableOf	ask to excused
love	CapableOf	change people greatly
criminal	CapableOf	attempt to rob bank
person	CapableOf	cry over emotional issue
salesman	CapableOf	service account
cat	CapableOf	fish for fish
horse	CapableOf	place second
electrician	CapableOf	fix dead connection
artist	CapableOf	perfect painting
priest	CapableOf	baptise
priest	CapableOf	marry couple
soldier	CapableOf	receive orders
mum	CapableOf	shout at kids
person	CapableOf	smell flower
person	CapableOf	air smelly closet
mechanic	CapableOf	tune brakes
brewer	CapableOf	bottle beer
dog	CapableOf	bring master bone
child	CapableOf	choose to help mother
runner	CapableOf	push to win race
dog	CapableOf	fancy toy
bear	CapableOf	hunt rabbit
human	CapableOf	eat spaghetti
liar	CapableOf	expect to found out
person	CapableOf	allow person to teach
cat	CapableOf	hunt mice
person	CapableOf	head team
postman	CapableOf	ring twice
person	CapableOf	learn how to tie shoes
puppy	CapableOf	become dog
doctor	CapableOf	speak to patient
parent	CapableOf	homeschool
waitress	CapableOf	serve dinner with panache
teacher	CapableOf	teach about companies
person	CapableOf	visit museum
dog	CapableOf	put paw on knee
person	CapableOf	plant flowers
person	CapableOf	write in prosaic style
person	CapableOf	honor ancestors
midwife	CapableOf	doctor expectant mother
teacher	CapableOf	list students
postman	CapableOf	sort mail
cop	CapableOf	fine person
person	CapableOf	gain favour
person	CapableOf	rest after work
person	CapableOf	call dog into house
dog	CapableOf	barks when hears steps
police officer	CapableOf	order to stop running
liar	CapableOf	lie way out of trouble
soldier	CapableOf	arm civilian
thief	CapableOf	rob bank
person	CapableOf	visit person
parent	CapableOf	name newborn baby
parent	CapableOf	leave family
kitten	CapableOf	mew
grandma	CapableOf	offer cookies
animal	CapableOf	live
student	CapableOf	ball piece of paper
baby	CapableOf	cry all night long
worker	CapableOf	bottle water
teacher	CapableOf	explain fact
human	CapableOf	play game
cook	CapableOf	coat skillet with shortening
teacher	CapableOf	enter classroom
parent	CapableOf	strike child
worker	CapableOf	fence yard
cow	CapableOf	low for calf
agent	CapableOf	start to act
dog	CapableOf	father puppy
client	CapableOf	buy time
worker	CapableOf	answer to boss
person	CapableOf	go into debt
child	CapableOf	state obvious
guest	CapableOf	arrive early
dog	CapableOf	guard house
pupil	CapableOf	answer teacher
person	CapableOf	oil another person
librarian	CapableOf	sort through call cards
person	CapableOf	further education
love	CapableOf	last life time
shopper	CapableOf	buy cookies from girl scout
parent	CapableOf	side with kids
dog	CapableOf	cause rabbit to run away
dog	CapableOf	sleep long time
person	CapableOf	mean different things while speaking
company	CapableOf	own resources
pilot	CapableOf	fly plane
cat	CapableOf	lie on mat
enemy	CapableOf	storm gates
friend	CapableOf	shoulder blame
lion	CapableOf	sound scary
worker	CapableOf	wait for raise
person	CapableOf	shout word
child	CapableOf	show toy to friend
locksmith	CapableOf	rekey lock
burglar	CapableOf	force open lock
student	CapableOf	understand homework
relative	CapableOf	mean difference between two things
person	CapableOf	fall into obscurity
actor	CapableOf	face audience
teacher	CapableOf	mark papers with grade
child	CapableOf	do chores
cook	CapableOf	salt stew
dog	CapableOf	learn to do tricks
chef	CapableOf	prepare to serve dinner
lion	CapableOf	corner prey
salesman	CapableOf	offer discount
priest	CapableOf	perform baptism
bird	CapableOf	sing song
child	CapableOf	win spelling bee
person	CapableOf	control moving vehicle
friend	CapableOf	come over for visit
person	CapableOf	help another
judge	CapableOf	decide law
parent	CapableOf	mother child
child	CapableOf	push doll carraige
speaker	CapableOf	field questions
locksmith	CapableOf	open locked door
person	CapableOf	number cheesecake
child	CapableOf	act petulantly
soldier	CapableOf	fight enemy
bird	CapableOf	tell insects from plants
person	CapableOf	duck under pole
cat	CapableOf	need meal
police officer	CapableOf	arrest people
artist	CapableOf	paint picture on canvas
person	CapableOf	cry from pain
person	CapableOf	watch cosby on television
soldier	CapableOf	raise flag
electrician	CapableOf	fix short
relative	CapableOf	visit relative
person	CapableOf	open jar
person	CapableOf	serve another person dinner
cook	CapableOf	roll pie crust
person	CapableOf	will action
rabbit	CapableOf	move fast
person	CapableOf	gather berries
person	CapableOf	feel beautiful
student	CapableOf	guess answer
buyer	CapableOf	look at property
person	CapableOf	keep bees
dog	CapableOf	breathe
bird	CapableOf	eye fish
person	CapableOf	receive mail
judge	CapableOf	side with plaintiff
teacher	CapableOf	teach students
person	CapableOf	go into jungle
politician	CapableOf	look honest
person	CapableOf	trust authority
person	CapableOf	feel loved
child	CapableOf	count to 5
teacher	CapableOf	settle fight
assistant	CapableOf	sort mail
cook	CapableOf	cook dinner
person	CapableOf	smoke in bar
donkey	CapableOf	carry load of supplies
person	CapableOf	arm himself
student	CapableOf	hurry to school
dog	CapableOf	lead police to dead body
travel agent	CapableOf	book plane ticket
cop	CapableOf	corner criminal
person	CapableOf	drop thing
burglar	CapableOf	surprise homeowner
baby	CapableOf	learn to walk
runner	CapableOf	run laps of track
squirrel	CapableOf	store nuts
dog	CapableOf	place bone in hole
clerk	CapableOf	stock shelves
person	CapableOf	make do and mend
person	CapableOf	believe in santa claus
patient	CapableOf	take pills
soldier	CapableOf	use gun to kill
friend	CapableOf	come over
policeman	CapableOf	fine offender of law
soldier	CapableOf	ready weapon
assistant	CapableOf	hand tool
parent	CapableOf	experience fear
pitcher	CapableOf	strike out baseball hitter
fish	CapableOf	live underwater
frog	CapableOf	jump very high
mechanic	CapableOf	oil squealing engine
repairman	CapableOf	attempt repair
doctor	CapableOf	listen to person's heart
parent	CapableOf	sign permission slip
owl	CapableOf	hear slightest rustle
child	CapableOf	jump on trampouline
person	CapableOf	face mirro
person	CapableOf	distance himself from other people
person	CapableOf	answer to name
person	CapableOf	laugh at joke
student	CapableOf	wait in line
person	CapableOf	analyze characters in play
teacher	CapableOf	sense misunderstanding
judge	CapableOf	fine convicted criminal
human	CapableOf	turn away
cook	CapableOf	bone turkey
politician	CapableOf	agree with voter
person	CapableOf	control computer
person	CapableOf	bicycle from home to work
manager	CapableOf	chair meeting
cat	CapableOf	mew
lady	CapableOf	wave hand
child	CapableOf	mind babysitter
person	CapableOf	walk dog
dog	CapableOf	become pet
person	CapableOf	surprise another person
bird	CapableOf	sing to mate
human	CapableOf	mail to human
cat	CapableOf	chase tail
animal	CapableOf	die in laboratory
child	CapableOf	shout yippee
chef	CapableOf	cook dishes
person	CapableOf	roll ball
judge	CapableOf	fine for speeding
witness	CapableOf	state facts to detective
cat	CapableOf	guard kittens
scientist	CapableOf	discover nuetrinos have mass
person	CapableOf	say words
person	CapableOf	spread cream cheese on bagel
person	CapableOf	trip on cord
person	CapableOf	newsmaker
chef	CapableOf	work at restaurant
person	CapableOf	hit person
cat	CapableOf	enjoy to take nap
cat	CapableOf	look out window
author	CapableOf	word things very carefully
judge	CapableOf	require testimony
secretary	CapableOf	forward message
friend	CapableOf	double score on test
person	CapableOf	go insane
police officer	CapableOf	stop driver
person	CapableOf	lie in bed
policeman	CapableOf	clear streets of onlookers
dog	CapableOf	stand on two legs
student	CapableOf	pass course
child	CapableOf	expect to grow older
chef	CapableOf	quarter chicken
publisher	CapableOf	number pages of book
person	CapableOf	put secrets in computer
person	CapableOf	man pump
person	CapableOf	swim in water
person	CapableOf	write letter to editor
teacher	CapableOf	believe in students
person	CapableOf	check temperature
librarian	CapableOf	lend books to students
shopper	CapableOf	list groceries
professor	CapableOf	chair department
owl	CapableOf	hear mouse
police officer	CapableOf	offer directions
horse	CapableOf	run in pasture
person	CapableOf	form clay into statue
horse	CapableOf	drink when led to water
person	CapableOf	prepare to go
person	CapableOf	deal object
worker	CapableOf	charge battery with energy
child	CapableOf	delight with innocent love
person	CapableOf	measure another person's height
person	CapableOf	need to shout
child	CapableOf	group crayons
person	CapableOf	voice concern
contractor	CapableOf	build office building
lady	CapableOf	receive love letter
adult	CapableOf	feed and take care of itself
child	CapableOf	flying kite
bird	CapableOf	build nest
dog	CapableOf	enjoy to play in lake
cook	CapableOf	bread piece of meat
chicken	CapableOf	produce eggs
criminal	CapableOf	fear police
human	CapableOf	discover how to travel across space
child	CapableOf	play hero
scientist	CapableOf	fight disease
elephant	CapableOf	lift tree
comic	CapableOf	live full life
person	CapableOf	laugh at clown
politician	CapableOf	press hands for votes
actor	CapableOf	sign name
dog	CapableOf	like going for walk
person	CapableOf	listen to sounds
solicitor	CapableOf	charge according to time
soldier	CapableOf	fight battle
diner	CapableOf	butter corn
pets	CapableOf	help make life worth living
driver	CapableOf	head in to parking spot
student	CapableOf	take exam
friend	CapableOf	thank another friend
plant	CapableOf	flower in spring time
pig	CapableOf	find truffle
cat	CapableOf	clean themselves
cattle	CapableOf	catch foot and mouth disease
child	CapableOf	touch apple
dog	CapableOf	mark territory with urine
smoker	CapableOf	roll cigarette
person	CapableOf	die when injured
baby	CapableOf	play peekaboo
smoker	CapableOf	light cigarette
person	CapableOf	buy car
teacher	CapableOf	hand out papers
dealer	CapableOf	supply junkie
cat	CapableOf	sleep on windowsill
person	CapableOf	die peaceful death
child	CapableOf	expect love from mother
child	CapableOf	promise to good
friend	CapableOf	laugh to himself
person	CapableOf	borrow sugar from neighbor
customer	CapableOf	demand check
person	CapableOf	leave home
king	CapableOf	vomit
person	CapableOf	drive only one vehicle at time
person	CapableOf	understand question
child	CapableOf	whine
judge	CapableOf	fine defendent
student	CapableOf	tear paper
tailor	CapableOf	dress lady
dog	CapableOf	bark
baker	CapableOf	separate eggs
brother	CapableOf	bug
person	CapableOf	feel bitterness
person	CapableOf	ship package
person	CapableOf	cook scrambled eggs
bird	CapableOf	fall from sky
person	CapableOf	back up claim
person	CapableOf	charge up hill
person	CapableOf	drink espresso
scientist	CapableOf	state fact
doctor	CapableOf	give first aid
person	CapableOf	lose weight to more healthy
human	CapableOf	light candle
judge	CapableOf	fine damages
plumber	CapableOf	experience mid life crisis
person	CapableOf	word sentence
monkey	CapableOf	move from one tree to another
bartender	CapableOf	present bill
kid	CapableOf	throw tantrum
teacher	CapableOf	carry on conversation
mechanic	CapableOf	servicing car
mom	CapableOf	use can opener
person	CapableOf	enjoy smoking cigarette
cook	CapableOf	quarter pie
cook	CapableOf	ready meal
person	CapableOf	learn how to sculpt
cook	CapableOf	perfect recipe
person	CapableOf	buy food
scientist	CapableOf	wonder about universe
child	CapableOf	voice opinion
scientist	CapableOf	discover new planet
politician	CapableOf	pass buck
relative	CapableOf	stay overnight
person	CapableOf	duck under branch
parent	CapableOf	church youngster
person	CapableOf	pick nose
child	CapableOf	listen to story
cow	CapableOf	produce methane gas
doctor	CapableOf	position scalpel against skin
real estate agent	CapableOf	try to reduce price
person	CapableOf	turn knob
fool	CapableOf	spend all money
friend	CapableOf	lend book
queen	CapableOf	welcome subjects to estate
child	CapableOf	visit parent
person	CapableOf	reason excuse
doctor	CapableOf	look at sick person
secretary	CapableOf	page on intercom
person	CapableOf	think
adult	CapableOf	read to child
person	CapableOf	catch bass
human	CapableOf	fool computer
person	CapableOf	order meal from waitress
student	CapableOf	promise to do homework
person	CapableOf	go scuba diving
person	CapableOf	analyze computer results
mechanic	CapableOf	prepare to repair car
cow	CapableOf	feed calf
politician	CapableOf	shake voter's hand
parent	CapableOf	school own children
grandfather	CapableOf	give presents
bird	CapableOf	fly high
person	CapableOf	quiet dog
person	CapableOf	share thoughts with other people
teacher	CapableOf	shout at students
cat	CapableOf	produce kittens
person	CapableOf	lift book
person	CapableOf	gift person with money
person	CapableOf	choose between right and wrong
employee	CapableOf	report to boss
child	CapableOf	become adult
child	CapableOf	say suprising things
person	CapableOf	rest in bed
mentor	CapableOf	offer advice to pupil
company	CapableOf	fire employees
dog	CapableOf	sense danger
adult	CapableOf	drive car
child	CapableOf	close door
shopper	CapableOf	order books
person	CapableOf	wait in line
person	CapableOf	deceive another person
child	CapableOf	jumping up and down
cook	CapableOf	bread chicken breast
person	CapableOf	agree idea
dog	CapableOf	guard building
person	CapableOf	need punishment
teacher	CapableOf	explain vocabulary word
cook	CapableOf	return with order
adult	CapableOf	dress herself
person	CapableOf	bagging groceries
student	CapableOf	receive diploma from institution
doctor	CapableOf	answer questions
human	CapableOf	laugh about joke
friend	CapableOf	return phone calls
diner	CapableOf	spread oleo on toast
student	CapableOf	forget to finish assignment
frog	CapableOf	return to pond
witness	CapableOf	name attacker
policeman	CapableOf	corner mugger
chef	CapableOf	cook tasty dish
grandma	CapableOf	mail letter
child	CapableOf	press for answers
artist	CapableOf	show work
person	CapableOf	ask to let in
person	CapableOf	feel upset
teacher	CapableOf	talking to student
hero	CapableOf	right injustices
artist	CapableOf	attempt to sell painting
chef	CapableOf	season meat
person	CapableOf	board ship
person	CapableOf	sign letter
person	CapableOf	learn how to roller skate
teacher	CapableOf	explain question
child	CapableOf	question parent
bird	CapableOf	travel faster than slug
policeman	CapableOf	notice unusual activity
person	CapableOf	fear revenge
person	CapableOf	needle person
waiter	CapableOf	wash hands often by law
driver	CapableOf	turn car around
professor	CapableOf	answer question
person	CapableOf	join group
friend	CapableOf	share feelings with another friend
baby	CapableOf	wave hand
fighter	CapableOf	fight
dog	CapableOf	following owner
person	CapableOf	own animal
client	CapableOf	bring money
secretary	CapableOf	record minutes
person	CapableOf	snap pea pod open
person	CapableOf	wrong another person
teacher	CapableOf	teach english
politician	CapableOf	promise public to lower taxes
lawyer	CapableOf	charge fee for service
cook	CapableOf	prepare gourmet meal
chicken	CapableOf	ingridient in soup
child	CapableOf	battle with mother over bedtime
person	CapableOf	listen to birds
person	CapableOf	continue learning
person	CapableOf	object disagree
lawyer	CapableOf	study legal precedents
seed	CapableOf	become plant
mechanic	CapableOf	service car
secretary	CapableOf	make appointment
driver	CapableOf	open car door
person	CapableOf	receive magazine in mail
person	CapableOf	miss target
person	CapableOf	go into sea
person	CapableOf	form opinion
chef	CapableOf	cook thai food
surgeon	CapableOf	go into operating room
person	CapableOf	converse
diner	CapableOf	serve fast food
baby	CapableOf	belong to mother
person	CapableOf	forget thing know
cat	CapableOf	kill snake
guard	CapableOf	guard prisoners
shopper	CapableOf	demand refund from store
person	CapableOf	loose consciousness in house fire
runner	CapableOf	time mile
cat	CapableOf	play with ball
person	CapableOf	push car
person	CapableOf	guess unknown
king	CapableOf	govern peasants
person	CapableOf	visit place
fish	CapableOf	live in lakes
child	CapableOf	acting out
person	CapableOf	paint boat
chef	CapableOf	cook with sauce
politician	CapableOf	duck issues
robber	CapableOf	leave scene
teacher	CapableOf	explain subject
cat	CapableOf	get wet
bird	CapableOf	person's pet
person	CapableOf	throw fit
real estate agent	CapableOf	quote high price
child	CapableOf	position toys just so
person	CapableOf	put things into case
person	CapableOf	learn how to do algebra
cook	CapableOf	burn dinner
person	CapableOf	cross street
person	CapableOf	decide whether to do
person	CapableOf	suffer from disease
inspector	CapableOf	note unsafe condition
person	CapableOf	wish things to go away
fighter	CapableOf	box with another fighter
person	CapableOf	help another person
locksmith	CapableOf	enter locked apartment
teacher	CapableOf	teach pupil
person	CapableOf	entering data into computer
employee	CapableOf	stock inventory items
policeman	CapableOf	direct traffic
chef	CapableOf	bread cutlets
person	CapableOf	hurry to work
person	CapableOf	fight another person
child	CapableOf	demand food
person	CapableOf	throw party
worker	CapableOf	gain money from boss
patient	CapableOf	trust doctor
student	CapableOf	carry heavy load
person	CapableOf	write poem about fish
cook	CapableOf	season fish with lemon
company	CapableOf	mail order
student	CapableOf	study engineering
thief	CapableOf	surprise person
person	CapableOf	long for love
person	CapableOf	shout fire
person	CapableOf	carry shopping
pets	CapableOf	go into cages
teacher	CapableOf	study way students think
lawyer	CapableOf	present case to court
secretary	CapableOf	page
teacher	CapableOf	field question
person	CapableOf	state fact
bull	CapableOf	charge rider
frog	CapableOf	jumping across stream
leader	CapableOf	plant ideas
scientist	CapableOf	discover new phenomena
friend	CapableOf	help plant tree
kid	CapableOf	tie shoe
runner	CapableOf	near finishline
lion	CapableOf	circle it's prey
child	CapableOf	like entertaining story
friend	CapableOf	borrow money from roommates
person	CapableOf	drive lorry
person	CapableOf	buy cans of food in stores
animal	CapableOf	fight for life
person	CapableOf	control bad habits
boxer	CapableOf	fight for title
lawyer	CapableOf	try case
tiger	CapableOf	kill
parent	CapableOf	wave to children
student	CapableOf	hand report to teacher
person	CapableOf	time egg cooking
teacher	CapableOf	circle mistake
student	CapableOf	discover fact
doctor	CapableOf	recommend dental treatment for ailments
dog	CapableOf	lie down after eating
walker	CapableOf	hurry across street
person	CapableOf	share opinion
person	CapableOf	find sound of bells mournful
witch	CapableOf	gathering herbs
cook	CapableOf	measure ingredients
person	CapableOf	learn until die
teacher	CapableOf	object to students talking
bodyguard	CapableOf	guard person
person	CapableOf	speak spanish
politician	CapableOf	build coalition
fish	CapableOf	live in bay
bear	CapableOf	mother cubs
worker	CapableOf	dig for fossels
student	CapableOf	perfect handwriting
person	CapableOf	rush to finish on time
child	CapableOf	play in sandbox
teacher	CapableOf	decide answer
friend	CapableOf	remember birthday
person	CapableOf	feel stupid
teacher	CapableOf	explain topic
singer	CapableOf	agree to sing at concert
actor	CapableOf	appearing at theater
real estate agent	CapableOf	offer price
